,Iterations,Fitness,Time,State,runner_name,pop_size,mutation_prob,Population Size,Mutation Rate
195,512,39.0,1.6191023069999915,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.6,200,0.6
196,1024,39.0,1.6191023069999915,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.6,200,0.6
197,2048,39.0,1.6191023069999915,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.6,200,0.6
198,2,30.0,0.17576368300001377,"[1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1
 0 1 1]",GA,200,0.8,200,0.8
199,4,30.0,0.3248822740000037,"[1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1
 0 1 1]",GA,200,0.8,200,0.8
200,8,32.0,0.6127771159999611,"[1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 1
 0 0 1]",GA,200,0.8,200,0.8
201,16,37.0,1.179509935999988,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,0.8,200,0.8
202,32,38.0,2.3154216140000017,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,0.8,200,0.8
203,64,38.0,4.789565960999994,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,0.8,200,0.8
204,128,38.0,9.405368158999977,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,0.8,200,0.8
205,256,38.0,18.171434112999975,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,0.8,200,0.8
206,512,38.0,35.09256595699998,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,0.8,200,0.8
207,1024,38.0,69.257635763,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,0.8,200,0.8
208,2048,38.0,69.46078026599997,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,0.8,200,0.8
209,2,28.0,0.16368702799996981,"[0 1 0 0 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 1 0 0 1 1
 0 1 0]",GA,200,1.0,200,1.0
210,4,30.0,0.2926184140000032,"[1 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,1.0,200,1.0
211,8,33.0,0.5476259949999758,"[0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0
 0 1 1]",GA,200,1.0,200,1.0
212,16,36.0,1.0572519599999737,"[0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,1.0,200,1.0
213,32,38.0,2.0675914409999905,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1
 0 1 0]",GA,200,1.0,200,1.0
214,64,39.0,2.131305144999999,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,1.0,200,1.0
215,128,39.0,2.131305144999999,"[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
 1 0 1]",GA,200,1.0,200,1.0
