,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
77,64,1623.0,357.1435933630055,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
78,128,1623.0,706.8793863820028,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
79,256,1623.0,1424.9965683020055,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
80,512,1623.0,2831.660462908003,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
81,1024,1623.0,5594.112561207003,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
82,2048,1623.0,5594.112561207003,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
83,4096,1623.0,5594.112561207003,"[17. 19. 19. 18.  6.  0. 17.  2. 17. 19.  0.  0. 14. 18. 16. 19.  9. 15.
  1. 17. 19. 13.  1.  7. 16.  9. 14. 10. 12. 19.  6. 19. 11.  9. 19.]",400,0.25,400,0.25
84,0,801.0,0.15009711700258777,"[ 7  0 15 19  8  2 13  1  6  1 17  9  4 15  8  4  7  7  1  6 13  0 10 12
  6 16  3  7  4 16  2  4  3 16  3]",400,0.5,400,0.5
85,1,1399.0,6.0616411570008495,"[10. 19. 15. 13.  9.  0. 15.  7.  1. 15. 12. 18. 12. 12. 19. 17. 12.  3.
 14.  8.  5. 19. 16. 11. 12.  8.  2. 18. 13. 19. 17. 17. 11. 14. 14.]",400,0.5,400,0.5
86,2,1436.0,11.908411041004001,"[18. 19.  6.  6. 16. 16. 16. 12.  6. 19. 16.  7. 16. 14. 19.  9. 16.  6.
 15. 12.  5. 15.  1.  3. 10. 15. 18.  6.  9. 18. 10. 15. 14. 14. 17.]",400,0.5,400,0.5
87,4,1452.0,23.822021423002298,"[14. 16. 14. 14.  6. 19. 14. 11.  5. 14. 14. 11.  8. 14. 16. 15. 19. 11.
 15. 19. 12. 15.  4. 14. 19.  5. 12. 16. 11.  5. 10. 19. 18.  4.  3.]",400,0.5,400,0.5
88,8,1525.0,47.15943522500311,"[19. 15. 16. 16.  7. 16. 19.  1.  6. 13. 12.  4. 16. 18. 19. 14. 16.  4.
 15. 11.  5. 19.  5.  1. 17. 18. 19. 10. 12. 18.  4. 17. 12. 10. 19.]",400,0.5,400,0.5
89,16,1596.0,92.77719115000218,"[14. 19. 18. 11.  6. 19. 14.  1. 15. 18.  8.  6.  9. 12. 15. 17. 18.  2.
  7. 19. 17. 17.  1. 12. 16.  5. 12. 15. 18. 16. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
90,32,1629.0,181.92434946100548,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
91,64,1629.0,356.9261715610046,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
92,128,1629.0,710.397606604005,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
93,256,1629.0,1411.5443726369995,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
94,512,1629.0,2817.779880396003,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
95,1024,1629.0,5626.180527016004,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
96,2048,1629.0,5642.580087972005,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
97,4096,1629.0,5642.580087972005,"[14. 19. 18. 16.  6. 19. 17.  3.  5. 13.  8.  6.  9. 15. 15. 17. 18.  2.
  7. 19. 17. 19.  1. 12. 18.  5. 18. 19. 18. 18. 10. 19. 18. 10. 19.]",400,0.5,400,0.5
98,0,933.0,0.15359927900135517,"[ 2  9  0  6 18  0  6  1 12 13 17  4  6 12  2  4 16  1  0  9 18  8 16  9
 14  6 16  7  7  2 15  9  4  2 19]",400,0.75,400,0.75
99,1,1420.0,6.00773222099815,"[ 6. 16. 12. 19. 11. 18. 16. 17. 11. 19. 11.  5.  3. 12. 17.  3. 17. 10.
 11. 16. 13. 17.  3.  6. 14.  2. 10.  3.  3. 15. 19. 16. 15.  9. 18.]",400,0.75,400,0.75
100,2,1420.0,11.892046048997145,"[ 6. 16. 12. 19. 11. 18. 16. 17. 11. 19. 11.  5.  3. 12. 17.  3. 17. 10.
 11. 16. 13. 17.  3.  6. 14.  2. 10.  3.  3. 15. 19. 16. 15.  9. 18.]",400,0.75,400,0.75
